feature,shap_importance
InternetService,0.5457001999800961
PhoneService,0.261007680351001
MultipleLines,0.2284974893441796
Contract,0.15603216277375925
PaperlessBilling,0.13060015110584464
tenure,0.10707350056332968
StreamingTV,0.10231284156114083
StreamingMovies,0.09181670674693775
OnlineSecurity,0.05176072448495589
PaymentMethod,0.05127628796403259
TechSupport,0.04935757844523124
SeniorCitizen,0.04888535263056413
Dependents,0.04131953172002241
Partner,0.028003352740264675
DeviceProtection,0.009070511225994204
gender,0.006923630700579317
OnlineBackup,0.003165525635646579
